Poem Name,Poet,year,Source,Line,Metaphor present or not,count of the metaphor,metaphorical terms,The target domain,The sorce domain,Meaning
පුතෙකුගේ සෝ සුසුම්,ගාමිණි අබේසේකර,2006,සමරු සදෙස,වසර ගණනක් පුරා ඔබ තැනූ සෙනෙහ විල,yes,1,සෙනෙහ විල,සෙනෙහ,විල,The ake of affection
පුතෙකුගේ සෝ සුසුම්,ගාමිණි අබේසේකර,2006,සමරු සදෙස,තිසර පැටියෙකු විලස පිහිනුවෙමි සිඟිති කළ,no,0,,,,
පුතෙකුගේ සෝ සුසුම්,ගාමිණි අබේසේකර,2006,සමරු සදෙස,තුසර බිදු පිරි දෙනෙත දුවයි හද සමරු මල,yes,1,හද සමරු මල,හද ,සමරු මල,The heart of commemorative flower
පුතෙකුගේ සෝ සුසුම්,ගාමිණි අබේසේකර,2006,සමරු සදෙස,සසර වසන තුරුම පුදමි එය දෙපාමුල,no,0,,,,
විරහ ගී,ගාමිණි අබේසේකර,2006,සමරු සදෙස,ගුණ ගී ගැයේ වෙනදා ගොළු මුවින් දොඩා,no,0,,,,
විරහ ගී,ගාමිණි අබේසේකර,2006,සමරු සදෙස,කඳුලැලි සැලේ පෙර නොසැලුණ හදින්,no,0,,,,
විරහ ගී,ගාමිණි අබේසේකර,2006,සමරු සදෙස,දැමුවත් මාරයා දිවි අම්බලම කඩා,yes,1,දිවි අම්බලම,දිවි ,අම්බලම,Lite is a temporary stay
විරහ ගී,ගාමිණි අබේසේකර,2006,සමරු සදෙස,ඔබ ජීවතුන් අතරයි දැන් පෙරට වඩා,no,0,,,,
විරහ ගී,ගාමිණි අබේසේකර,2006,සමරු සදෙස,ගුවනින් තරඟ නැන්ගී දෙසවනට වැදී,no,0,,,,
විරහ ගී,ගාමිණි අබේසේකර,2006,සමරු සදෙස,මතකයෙ යකළු පහරින් හද පතුල බිදී,yes,1,මතකයෙ යකළු පහරින්,මතකයෙ ,යකළු පහරින්,The iron blow of the memory
විරහ ගී,ගාමිණි අබේසේකර,2006,සමරු සදෙස,අවකාසේ පාවෙන හඬ සමග රැදී,no,0,,,,
විරහ ගී,ගාමිණි අබේසේකර,2006,සමරු සදෙස,කොතරම් කල් ගියත් ඔබ අප සමග හිදී,no,0,,,,
අයියල අක්කලා නංගිලා මල්ලිලා වෙත,ගාමිණි අබේසේකර,2006,සමරු සදෙස,ආදර නැව දියත් වෙද්දී රැල්ල කැපී,yes,1,ආදර නැව,ආදර,නැව,Thes ship of love
අයියල අක්කලා නංගිලා මල්ලිලා වෙත,ගාමිණි අබේසේකර,2006,සමරු සදෙස,ජිවන ගගුල ඔප වෙද්දී පියුම් පිපී,yes,1,ජිවන ගගුල,ජිවන,ගගුල,The river of life
අයියල අක්කලා නංගිලා මල්ලිලා වෙත,ගාමිණි අබේසේකර,2006,සමරු සදෙස,ජයපැන් බිබී තුටු වන්නට එකට හැපී,no,0,,,,
අයියල අක්කලා නංගිලා මල්ලිලා වෙත,ගාමිණි අබේසේකර,2006,සමරු සදෙස,අප ළඟ නැතත් අපේ හදවත් එවමු අපී,no,0,,,,
පවුලේ පොඩි එවුන් ගැන,ගාමිණි අබේසේකර,2006,සමරු සදෙස,ගුණ මිණි පළන්දා,yes,1,ගුණ මිණි,ගුණ ,මිණි,The gems of qualities
පවුලේ පොඩි එවුන් ගැන,ගාමිණි අබේසේකර,2006,සමරු සදෙස,ගෙදර සිරිකත කැන්දා,no,0,,,,
පවුලේ පොඩි එවුන් ගැන,ගාමිණි අබේසේකර,2006,සමරු සදෙස,නිවස ඔප ලන්දා,no,0,,,,
පවුලේ පොඩි එවුන් ගැන,ගාමිණි අබේසේකර,2006,සමරු සදෙස,ධනලි දුව හින්ද,no,0,,,,
නව යුවලකට ආසිරි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,මංජුලා නෙතින් පණ්ඩුක හද තුල,no,0,,,,
නව යුවලකට ආසිරි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,පෙම් දිය පිරවෙන්නේ,yes,1,පෙම් දිය,පෙම් ,දිය,water of love
නව යුවලකට ආසිරි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,ඒ දිය සිසිලෙන් දෙදෙනාගේ ජිවිත,no,0,,,,
නව යුවලකට ආසිරි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,නිරතුරු නැවෙන්නේ,no,0,,,,
විසි වසරකට පසු,ගාමිණි අබේසේකර,2006,සමරු සදෙස,රසික රසිකාවියන් වටකොට බමන බිගුන් කැලසේ,no,0,,,,
විසි වසරකට පසු,ගාමිණි අබේසේකර,2006,සමරු සදෙස,සුවද රොන් රස බෙදා අකලට මිලින වූ මලසේ,no,0,,,,
විසි වසරකට පසු,ගාමිණි අබේසේකර,2006,සමරු සදෙස,දශක දෙකකුත් ඉක්ම ගිය මුත් සිහිනයක් විලසේ,no,0,,,,
විසි වසරකට පසු,ගාමිණි අබේසේකර,2006,සමරු සදෙස,සමරු විල්ලුද තවම පැහැපත් ඔබේ ගුණ පලසේ,yes,1,ගුණ පලසේ,ගුණ ,පලසේ,The carpet of qualities
විසි වසරකට පසු,ගාමිණි අබේසේකර,2006,සමරු සදෙස,දිරන මැලවෙන නැසෙන අතරේ සියලු දෙය මෙලොවෙ,no,0,,,,
විසි වසරකට පසු,ගාමිණි අබේසේකර,2006,සමරු සදෙස,සනාතන වූ දෙයක් පිළිබද පැහැදිලි සිත යොමුවේ,no,0,,,,
විසි වසරකට පසු,ගාමිණි අබේසේකර,2006,සමරු සදෙස,නැවත නැවතත් එකට පිබිදී සසර මල් ගොමුවේ,yes,1,සසර මල් ගොමුවේ,සසර ,මල් ගොමුවේ,Sansaar is a flower dung
විසි වසරකට පසු,ගාමිණි අබේසේකර,2006,සමරු සදෙස,සුවද පුදදී නිවන් යමු අපි මෙත් බුදුන් හමුවේ,no,0,,,,
උතුර යන පිය සෙනෙහස,ගාමිණි අබේසේකර,2006,සමරු සදෙස,අත්තක පිපුන මල් තුනකින් ලොකුම මල,no,0,,,,
උතුර යන පිය සෙනෙහස,ගාමිණි අබේසේකර,2006,සමරු සදෙස,සුවදින් ලස්සනින් පිපුනොත් තමයි පල,no,0,,,,
උතුර යන පිය සෙනෙහස,ගාමිණි අබේසේකර,2006,සමරු සදෙස,නුවනින් ගුණෙන් හොඳ සිරිතෙන් වැදුණු කල,no,0,,,,
උතුර යන පිය සෙනෙහස,ගාමිණි අබේසේකර,2006,සමරු සදෙස,අපේ ලොකු පුතා මැණිකකි කළ නොහැකි මිල,yes,1,ලොකු පුතා මැණිකකි,ලොකු පුතා ,මැණිකකි,The eldest son is a gem
අයියල අක්කලා නංගිලා මල්ලිලා වෙත,ගාමිණි අබේසේකර,2006,සමරු සදෙස,නිවාස නමැති පුන් කළසේ,yes,1,නිවාස නමැති පුන් කළසේ,නිවාස ,පුන් කළස,The house is a punkasa a sinble of success and fullness
අයියල අක්කලා නංගිලා මල්ලිලා වෙත,ගාමිණි අබේසේකර,2006,සමරු සදෙස,පිපුණු පොල්මල විලසේ,no,0,,,,
අයියල අක්කලා නංගිලා මල්ලිලා වෙත,ගාමිණි අබේසේකර,2006,සමරු සදෙස,උපත ලැබූ අද දවසේ,no,0,,,,
අයියල අක්කලා නංගිලා මල්ලිලා වෙත,ගාමිණි අබේසේකර,2006,සමරු සදෙස,නැගණිය සැරදේ සුවසේ,no,0,,,,
අයියල අක්කලා නංගිලා මල්ලිලා වෙත,ගාමිණි අබේසේකර,2006,සමරු සදෙස,රන්වන් කරල් මෙන් ලෙලදෙන වෙල් යාය,no,0,,,,
අයියල අක්කලා නංගිලා මල්ලිලා වෙත,ගාමිණි අබේසේකර,2006,සමරු සදෙස,පුන්සද විලස කිරි බැබළෙන පුර පෝය,no,0,,,,
අයියල අක්කලා නංගිලා මල්ලිලා වෙත,ගාමිණි අබේසේකර,2006,සමරු සදෙස,පින්බර සෙනෙහ බර දෙදෙනෙකි එක් වුයේ,no,0,,,,
අයියල අක්කලා නංගිලා මල්ලිලා වෙත,ගාමිණි අබේසේකර,2006,සමරු සදෙස,මංගල හඩ නැගේ ජිවන යුග ගීයේ,yes,1,ජිවන යුග ගීයේ,ජිවන ,යුග ගීය,The life is duet
පවුලේ පොඩි එවුන් ගැන,ගාමිණි අබේසේකර,2006,සමරු සදෙස,උපන් දිනේ අපි ආපි,no,0,,,,
පවුලේ පොඩි එවුන් ගැන,ගාමිණි අබේසේකර,2006,සමරු සදෙස,හොදට කාපි බීපී,no,0,,,,
පවුලේ පොඩි එවුන් ගැන,ගාමිණි අබේසේකර,2006,සමරු සදෙස,සතුටු ගගේ නාපි,yes,1,සතුටු ගගේ,සතුටු ,ගග,The river of happy
පවුලේ පොඩි එවුන් ගැන,ගාමිණි අබේසේකර,2006,සමරු සදෙස,අපේ පුතා ඕපී,no,0,,,,
සද මඩලයි - පහන් තරුවයි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,හංස තුඩක වැදී පිපුන රත් නෙළුමකි මම,yes,1,රත් නෙළුමකි මම,මම,රත් නෙළුමකි,I'm a red lotus
සද මඩලයි - පහන් තරුවයි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,බමර තුඩක ගැටී රිදුන රොන් පිරි මල මම,yes,1,රොන් පිරි මල මම,මම,රොන් පිරි මල,I'm afower full of stamens
සද මඩලයි - පහන් තරුවයි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,පුන් කළසක විකසිත රන් පොල් මල් වන් මම,no,0,,,,
සද මඩලයි - පහන් තරුවයි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,විලුද රතු පලසක සුදු පාවඩයකි මම,yes,1,සුදු පාවඩයකිමම,මම,සුදු පාවඩයකි,I'm a white cloth for the feet
සද මඩලයි - පහන් තරුවයි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,සයුරු රැල්ල වැදී බිදුන සිනිදු වැල්ල මම,yes,1,සිනිදු වැල්ල මම,මම,සිනිදු වැල්ල,I'm soft sand
සද මඩලයි - පහන් තරුවයි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,තුසර් පොදින් තෙමි සැදුන සුමුදු නිල්ල මම,yes,1,සුමුදු නිල්ල මම, මම,සුමුදු නිල්ල,I'm soft green grass
සද මඩලයි - පහන් තරුවයි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,සද මඩලට හොරා නැගුන පහන් තරුව මම,yes,1,පහන් තරුව මම,මම,පහන් තරුව,I'm the planet Venus
සද මඩලයි - පහන් තරුවයි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,මද සුළගට සුවද පිරුන සදුන් රුකකි මම,yes,1,සදුන් රුකකි මම,මම,සදුන් රුකකි,I'm a Sandun tree
ජිවන මැදුරේ රන් දොර අබියස,ගාමිණි අබේසේකර,2006,සමරු සදෙස,තබනා තබනා පය මුතු මැණික් ගැටෙන්නේ,no,0,,,,
ජිවන මැදුරේ රන් දොර අබියස,ගාමිණි අබේසේකර,2006,සමරු සදෙස,පින්බර රන්දොර ජිවන මැදුරේ අද දින ඇරෙන්නේ,yes,1,ජිවන මැදුරේ,ජිවන ,මැදුර,The mansion of life
ජිවන මැදුරේ රන් දොර අබියස,ගාමිණි අබේසේකර,2006,සමරු සදෙස,නිරෝගී සුවසෙත ජයසිරි මතුකොට,no,0,,,,
ජිවන මැදුරේ රන් දොර අබියස,ගාමිණි අබේසේකර,2006,සමරු සදෙස,කලබා කිරි සයුර,yes,1,කිරි සයුර,සයුර,කිරි,The milk like sea
ජිවන මැදුරේ රන් දොර අබියස,ගාමිණි අබේසේකර,2006,සමරු සදෙස,නිරෝෂා කුමරිය කැන්දාගෙන එයි සුබ නැකතින් මයුර,no,0,,,,
නව යුවලකට ආසිරි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,දෙදෙනා සැමදා,no,0,,,,
නව යුවලකට ආසිරි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,මේ ලෙස පෙම් තොටිල්ලේ,yes,1,පෙම් තොටිල්ලේ,පෙම්,තොටිල්ල,The cradle of love
නව යුවලකට ආසිරි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,කුරුළු ජෝඩුවක් වාගේ නැළවී,no,0,,,,
නව යුවලකට ආසිරි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,සතුටින් සැනසිල්ලේ,no,0,,,,
නා හිමි සමරම්,ගාමිණි අබේසේකර,2006,සමරු සදෙස,එඩියේ ගුණේ දැනුමේ උල්පත සිදුණි,yes,1,දැනුමේ උල්පත,දැනුමේ ,උල්පත,The fountain of knowledge
නා හිමි සමරම්,ගාමිණි අබේසේකර,2006,සමරු සදෙස,කොඩියේ සිංහ සලකුණ ගිලිහුණි හැගුණි,no,0,,,,
නා හිමි සමරම්,ගාමිණි අබේසේකර,2006,සමරු සදෙස,මඩිහේ පඥාඥාසිහ න හිමි වියෝඕ වුණි,no,0,,,,
නා හිමි සමරම්,ගාමිණි අබේසේකර,2006,සමරු සදෙස,වැඩියේ අමරපුර කුටියට යයි සිතුණි,no,0,,,,
නා හිමි සමරම්,ගාමිණි අබේසේකර,2006,සමරු සදෙස,මහ ඇමති තානාපති නිල නැතුව,no,0,,,,
නා හිමි සමරම්,ගාමිණි අබේසේකර,2006,සමරු සදෙස,යහපත් පරම පිවිතුරු හැගුමෙන් යුතුව,no,0,,,,
නා හිමි සමරම්,ගාමිණි අබේසේකර,2006,සමරු සදෙස,දහසක් දනට මග හෙළි කල සෙත් පැතුව,no,0,,,,
නා හිමි සමරම්,ගාමිණි අබේසේකර,2006,සමරු සදෙස,මහා න හිමිට පුද දෙමු හද මල් ගෙතුව,yes,1,හද මල්,හද ,මල්,The heart flower
ආරාධනා,ගාමිණි අබේසේකර,2006,සමරු සදෙස,පාළුවෙලා නිසරුවෙලා ඇති හදවත් ගෙමිදුල,yes,1,හදවත් ගෙමිදුල,හදවත් ,ගෙමිදුල,The heart is a home yard
ආරාධනා,ගාමිණි අබේසේකර,2006,සමරු සදෙස,පාළුව දුර හැර ලන්නට පිබිදුනේ මේ මල,no,0,,,,
ආරාධනා,ගාමිණි අබේසේකර,2006,සමරු සදෙස,නැවුම් ගතිය කැටි කොට ගත සමන් පිච්ච මල,no,0,,,,
ආරාධනා,ගාමිණි අබේසේකර,2006,සමරු සදෙස,නැවුම් සුවද විහිදාපං මගේ හදවත තුළ,no,0,,,,
ආරාධනා,ගාමිණි අබේසේකර,2006,සමරු සදෙස,මලක අගය එය අතු අග පිපි තියේනම්,no,0,,,,
ආරාධනා,ගාමිණි අබේසේකර,2006,සමරු සදෙස,මලක අගය එහි මල් මල් හිනා තියේනම්,no,0,,,,
ආරාධනා,ගාමිණි අබේසේකර,2006,සමරු සදෙස,මලක අගය එය සුවදින් පිරි තියේනම්,no,0,,,,
ආරාධනා,ගාමිණි අබේසේකර,2006,සමරු සදෙස,මලක අගය හද ගෙමිදුල රැදී තියේනම්,yes,1,හද ගෙමිදුල,හද ,ගෙමිදුල,The heart is a home yard
උදානය,ගාමිණි අබේසේකර,2006,සමරු සදෙස,දස දහසක් දිය උල්පත් කතර පැන නැගේ,no,0,,,,
උදානය,ගාමිණි අබේසේකර,2006,සමරු සදෙස,දස දහසක් පෙණ පිඩු කැටි සයුරු රල දිගේ,no,0,,,,
උදානය,ගාමිණි අබේසේකර,2006,සමරු සදෙස,දිය උල්පත් පෙණ පිඩු කැටි මොටද මට අගේ,no,0,,,,
උදානය,ගාමිණි අබේසේකර,2006,සමරු සදෙස,නෙත් උල්පත් හසරැලි පෙණ ඔබ සතුය හැගේ,yes,1,නෙත් උල්පත්,නෙත් ,උල්පත්,Eye springs
උදානය,ගාමිණි අබේසේකර,2006,සමරු සදෙස,නෙත් උල්පත් හසරැලි පෙණ ඔබ සතුය හැගේ,yes,1,හසරැලි පෙණ,හසරැලි ,පෙණ,The foam of smile
දෙහද,ගාමිණි අබේසේකර,2006,සමරු සදෙස,මගේ හදවත් පුස්තකය ගැන,yes,1,හදවත් පුස්තකය,හදවත් ,පුස්තකය,The heart is a book
දෙහද,ගාමිණි අබේසේකර,2006,සමරු සදෙස,ලිය අටුවා ග්‍රන්ථයක් බදු,no,0,,,,
දෙහද,ගාමිණි අබේසේකර,2006,සමරු සදෙස,ඔබේ හදවත විවර කල මැන,no,0,,,,
දෙහද,ගාමිණි අබේසේකර,2006,සමරු සදෙස,විවිද වියරණ දොස් දකින ලෙද,no,0,,,,
දෙහද,ගාමිණි අබේසේකර,2006,සමරු සදෙස,මගේ හදවත කවි පොතක් කොට,yes,1,හදවත කවි පොතක්,හදවත ,කවි පොතක්,The heart is a poem book
දෙහද,ගාමිණි අබේසේකර,2006,සමරු සදෙස,ඔබට තිළිණය ලෙස පුදන්නෙමි,no,0,,,,
ස්මරණ රේකා,ගාමිණි අබේසේකර,2006,සමරු සදෙස,සුවඳ රුව බලා තුටු විය යුතු තැනන්ත්තා ගියා,no,0,,,,
ස්මරණ රේකා,ගාමිණි අබේසේකර,2006,සමරු සදෙස,උයන්පල්ලා නමැති මල් වැල්  ඈ ඇත අතර,yes,1,උයන්පල්ලා නමැති මල් වැල්,උයන්පල්ලා,මල් වැල්,Flowering vine called gardner
ස්මරණ රේකා,ගාමිණි අබේසේකර,2006,සමරු සදෙස,ආදරය රැකවරණය සැනසුම නමැති මිනි කැට පිරුණු පතුලේ,yes,1,ආදරය රැකවරණය සැනසුම නමැති මිනි කැට,ආදරය රැකවරණය සැනසුම ,මිනි කැට,"Gems of love, care, comfort"
ස්මරණ රේකා,ගාමිණි අබේසේකර,2006,සමරු සදෙස,සිහිල් අම සුව රැදුණු දිය පිරි පියන්නගේ සෙනෙහෙ ගගුලේ,yes,1,සෙනෙහෙ ගගුලේ,සෙනෙහෙ ,ගගුල,The river of affection
ස්මරණ රේකා,ගාමිණි අබේසේකර,2006,සමරු සදෙස,දහදිය හා ලෙයින් පොහොරව පෝෂිතව ජිවන කුබුරේ,yes,1,ජිවන කුබුරේ,ජිවන ,කුබුරේ,The life is a paddy field
ස්මරණ රේකා,ගාමිණි අබේසේකර,2006,සමරු සදෙස,කරල් පීදී කිර වැදී විත් සුළන් රැල්ලේ ලෙලෙන අතරේ,no,0,,,,
ස්මරණ රේකා,ගාමිණි අබේසේකර,2006,සමරු සදෙස,ආදරේ රන් එලිය පෑ හිරු බැස ගිය යළි නොඑනා අයුරින්,yes,1,ආදරේ රන් එලිය,ආදරේ,රන් එලිය,Love is golden light
උපන්දින තිළිණය,ගාමිණි අබේසේකර,2006,සමරු සදෙස,නිතරම් නොකීවට සැමවිට නොපැවට,no,0,,,,
උපන්දින තිළිණය,ගාමිණි අබේසේකර,2006,සමරු සදෙස,නැත මායිමක් මගේ ආදර විමානෙට,yes,1,ආදර විමානෙට,ආදර,විමානෙට,To the love plane
උපන්දින තිළිණය,ගාමිණි අබේසේකර,2006,සමරු සදෙස,එහි සිට රකින විට දිවි හිමියෙන් අගේ කොට,no,0,,,,
උපන්දින තිළිණය,ගාමිණි අබේසේකර,2006,සමරු සදෙස,නා රජු සතු මැණිකක් වාගේ ඔයා මට,no,0,,,,
